resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,2500,218,250,82.52080000000002,0.1868
ATCUtilitySolar,500,0.2,2500,187,250,0.7048000000000003,0.0044
CBPC-NIPCOUtilitySolar,500,0.2,2500,187,218,522.6960000000004,1.2388
CONSUtilitySolar,500,0.2,2500,187,218,0.9599999999999996,0.0052
DECOUtilitySolar,500,0.2,2500,125,187,0.0,0.0
EES-ARKUtilitySolar,500,0.2,2500,250,312,0.36240000000000017,0.0008
EES-TXUtilitySolar,500,0.2,2500,187,250,74.49879999999997,0.28880000000000006
IA-EUtilitySolar,500,0.2,2500,187,250,14.776399999999999,0.030000000000000006
IL-CUtilitySolar,500,0.2,2500,187,250,0.36600000000000016,0.0032
IN-CUtilitySolar,500,0.2,2500,125,187,0.0,0.0
IN-SUtilitySolar,500,0.2,2500,187,250,0.0,0.0
LA-GULFUtilitySolar,500,0.2,2500,187,250,175.5643999999999,0.4623999999999999
LA-NUtilitySolar,500,0.2,2500,125,187,5.449200000000001,0.0192
MECUtilitySolar,500,0.2,2500,187,250,926.0168000000001,1.1307999999999991
MISO-MOUtilitySolar,500,0.2,2500,187,250,4.2383999999999995,0.025999999999999995
MISO-MSUtilitySolar,500,0.2,2500,187,250,52.73839999999998,0.2848
MN-CUtilitySolar,500,0.2,2500,187,250,30.118000000000002,0.13519999999999996
MN-NEUtilitySolar,500,0.2,2500,187,250,1.9312000000000007,0.02080000000000001
MN-SEUtilitySolar,500,0.2,2500,187,250,124.00399999999998,0.28559999999999985
NIPSUtilitySolar,500,0.2,2500,125,187,0.0,0.0
SIPCUtilitySolar,500,0.2,2500,156,187,0.0,0.0
UPPCUtilitySolar,500,0.2,2500,125,187,2.9192000000000005,0.12680000000000005
